chapter,section_number,section_title,text,
8,3,Special Value of the Human Body,"As we all know, four things are common to all the creatures, viz.,
food, sleep, fear and sexual union. In the case of man, he is endowed
with a special faculty, viz, knowledge, with the help of which he can
attain God-vision, which is impossible in any other species. It is for this
reason that gods envy the human species and aspire to be born as men
on earth, so as to get their final deliverance.
Some say that there is nothing worse than the human body, which
is full of filth, mucus, phlegm and dirt and which is subject to decay,
disease and death. This is true to a certain extent, but in spite of these
drawbacks and defects, the special value of the human body is – that
man has got the capacity to acquire knowledge. It is only due to the
human body or on account of it, that one can think of the perishable
and transitory nature of the body itself and of the world, and have
aversion for sense-enjoyments, and can discriminate between the unreal
and the real, and thus attain God-vision. So, if we reject or neglect the
body, because it is filthy, we lose the chance of God-vision and if we
indulge it and run after sense-enjoyments, because it is precious, we go
to hell. The proper course, therefore, for us to pursue, is the following;
that the body should neither be neglected nor fondled, but should be
properly cared for, just as a traveller on horse-back takes care of his
horse on the way, till he reaches his destination and returns home.
Thus, the body should ever be used or engaged to attain God-vision or
self-realization, which is the supreme end of life.
It is said that, though God created various kinds of creatures, He
was not satisfied, for none of them was able to know and appreciate His
work. So he had to create a special being – man, and endow him with
a special faculty, viz, Knowledge; and when He saw that man was able
to appreciate His Leela, marvellous work and intelligence, He was
highly pleased and satisfied. (Vide, Bhagawat, 11-9-28) So really, it is
fortunate to get a human body, better still to be born in a Brahmin family
and best, to get an opportunity of being close to Sai Baba’s Feet and
surrendering to Him.",
8,4,Man's Endeavour,"Realizing how precious human life is and knowing that death is
certain and may snatch us at any time, we should be ever alert to
achieve the object of our lives, we should not make the least delay, but
make every possible haste to gain our object, just as a king leaves no
stone unturned to seek his lost son. So with all earnestness, we should
strive to attain our end, i.e. self-realization. Casting aside laziness,
warding off drowsiness, we should day and night meditate on the self.
If we fail to do this, we reduce ourselves to the level of beasts.",
8,5,How to Proceed?,"The most effective and speedy way to gain our object is to approach
a worthy saint or sage – Sadguru, who has himself attained God-vision.
What cannot be achieved by hearing religious discourses and study of
religious texts is easily obtained in the company of such worthy souls.
Just as the sun only gives light, which all the stars put together cannot
do, so the Sadguru alone imparts spiritual wisdom, which all the
sacred books and sermons cannot do. His movements and simple talks
give us ‘silent’ advice. The virtues of forgiveness, calmness,
disinterestedness, charity, benevolence, control of mind and body,
egolessness etc. are observed by the disciples, as they are being practised
in such pure and holy company. This enlightens their minds and lifts
them up spiritually. Sai Baba was such a Sage or Sadguru. Though He
acted as a Fakir (mendicant), He was always engrossed in Self. He
always loved all beings, in whom He saw God or Divinity. By pleasures
He was not elated. He was not depressed by misfortunes. A king and
a pauper were the same to Him. He Whose glance would turn a beggar
into a king, used to go begging food from door to door in Shirdi, and
let us now see how He did it.
",
8,6,Baba's Begging Food,"Blessed are the people of Shirdi, in front of whose houses, Baba
stood as a beggar and called out, “Oh Mai, give Me a piece of bread!”
and spread out His hand to receive the same. In one hand He carried
a Tumrel (tinpot) and in the other a Zoli or Choupadari, i.e., a rectangular
piece of cloth. He visited certain houses daily. Liquid or semi-liquid
things, such as soup, vegetables, milk or butter-milk, were received in
the tinpot, while cooked rice, bread and such solid things were taken
in the Zoli. Baba’s tongue knew no taste, as He had acquired control
over it. So how could He care for the taste of different things mixed up
together? Whatever things He got in His Zoli and in the tinpot, were
mixed together and partaken by Baba to His heart’s content. Whether
particular things were tasty or otherwise, was never noticed by Baba,
as His tongue was devoid of the sense of taste altogether. Baba begged
till noon, but His begging was very irregular. Some days He went a few
rounds on other days up to twelve noon. The food thus collected was
kept in a Kundi, i.e., earthen pot. Dogs, cats and crows freely ate from
it and Baba never drove them away. The woman who swept the floor
of the Masjid, took some 10 or 12 pieces of bread to her house and
nobody prevented her from doing so. How could He, Who, even in
dreams never warded off cats and dogs by harsh words and signs,
refuse food to poor helpless people? Blessed indeed is the life of such
a Noble Person! People in Shirdi took Him in the beginning for a mad
Fakir. He was known in the village by this name. How could one, who
lived on alms by begging a few crumbs of bread, be revered and
worshipped? But this Fakir was very liberal of heart, detached and
charitable. Though He looked restless from outside, He was firm and
steady inside. His way was inscrutable. Still in that small village, there
were a few kind and blessed people, who recognized and regarded Him
as a Great Soul. One such person's account is given below.",
8,7,Baijabai's Brilliant Service,"Tatya Kote’s mother, Baijabai, used to go to the woods every after
noon with a basket on her head containing bread and vegetables. She
roamed in the jungles kos (about 3 miles) after kos, trampling bushes
and shrubs in search of the mad Fakir and after finding Him, fell at His
Feet. The Fakir sat calm and motionless in meditation, while she placed
a leaf before Him, spread her things-eatables, bread, vegetables etc.
thereon, and fed Him. Wonderful was her faith and service. Every day
she roamed at noon in the jungles and insisted upon Baba to partake
of the lunch. Her service, Upasana or penance, by whatever name we
call it, was never forgotten by Baba till the end. Remembering fully what
service she rendered, Baba benefitted her son significantly. Both the son
and the mother, had great faith in the Fakir, Who was their God. Baba
often said to them that “Fakiri (mendicacy) is real, Lordship (riches) is
transient.” After some years Baba stopped going into the woods and
began to live in the village, and take His food in the Masjid thus,
Baijabai’s troubles of roaming in the jungles ended.",
8,8,Dormitory of Trio,"Ever blessed are the saints, in whose heart Lord Vasudeva dwells
and fortunate indeed are the devotees, who get the benefit of the company
of such saints. Two such fortunate fellows, Tatya Kote Patil and Bhagat
Mhalsapati, equally shared the company of Sai Baba. Baba also loved
them both. These three persons slept in the Masjid with their heads
towards the east, west and north, and with their feet touching one
another's at the centre. After spreading their beds, they lay on them,
chitchatting and gossiping till late at night. If any one of them showed
any signs of sleep, others would wake him up. For instance, if Tatya
began to snore, Baba at once got up and shook him from side to side
and pressed his head. If it was Mhalsapati, He pulled him close, stroked
his legs and patted his back. In this way for a period of 14 years, Tatya,
leaving his parents at home, slept in the Masjid on account of his deep
love for Baba. How happy and never to be forgotten were those days!
How to measure that love and how to value the grace of Baba! After the
passing away of his father, Tatya took charge of the household affairs
and began to sleep at home.",
8,9,Khushalchand of Rahata,"Baba loved Ganpat Kote Patil of Shirdi. He loved
Chandrabhansheth Marwadi of Rahata equally. After the demise of this
Sheth, Baba loved his nephew Khushalchand equally or perhaps more,
and looked after his welfare, day and night. Some times in a bullock
cart, at other times in a tonga1, with intimate devotees Baba went to
Rahata. People of that village would come out with band and music
and receive Baba at the gate of the village and prostrate before Him.
Then He was taken into the village with great honour and ceremony.
Khushalchand took Baba to his house, seated Him on a comfortable
seat and gave Him a good meal. Then they talked freely and merrily for
some time, after which Baba returned to Shirdi, giving delight and
blessings to all.
Shirdi is midway and equi-distant from Rahata on one side (south)
and Nimgaon on the other (north). Baba never went beyond these
places during His life time. He never saw any train nor travelled by it.
Still He knew exactly the timings of arrivals and departures of all trains.
Devotees who acted according to Baba’s instructions given at the time
of taking His leave, fared well, while those who disregarded them,
suffered many a mishap and accident. More about this and other matters
will be told in the next chapter.
Bow to Shri Sai – Peace be to all",
9,1,Characteristic of Shirdi - Pilgrimage,"At the end of the last chapter, it was briefly stated that the Bhaktas,
who obeyed Baba’s orders at the time of taking leave, fared well and
those, who disobeyed them, suffered many a mishap. This statement
will be amplified and illustrated, with a few striking instances, and by
other matters dealt with in this chapter.
Characteristic of Shirdi – Pilgrimage
One special peculiarity of Shirdi-pilgrimage was, that none could
leave Shirdi, without Baba’s permission and if he did, he invited troubles;
but if any one was asked to quit Shirdi, he could stay there no longer.
Baba gave certain suggestions or hints, when devotees went to bid
good-bye and take leave. These suggestions had to be followed. If they
were not followed or were departed from, accidents were sure to befall
them. We give below a few instances.",
9,2,Tatya Kote Patil's Tonga Ride,"Tatya Kote was once going in a tonga to Kopargaon bazaar. He
came in haste to the Masjid, saluted Baba, and said that he would go
to Kopargaon bazaar. Baba said, “Don’t make haste, stop a little, forget
the bazaar, don’t go out of the village”. On seeing his anxiousness to
go, Baba asked him to take Shama (Madhavrao Deshpande), with him.
Not minding this direction, Tatya Kote immediately drove off his tonga.
Of the two horses, one, which cost Rs. 300/-, was very active and
restless. After passing Sawli Vihir, it began to run rashly, got a sprain
in its waist and fell down. Tatya was not much hurt but, was reminded
of Mother Sai’s direction. On another occasion, while proceeding to
Kolhar village, he disregarded Baba’s direction and drove in a tonga,
which met with a similar accident.",
9,3,European Gentleman,"One European gentleman of Mumbai once came to Shirdi, with an
introductory note from Nanasaheb Chandorkar, and with some object
in view. He was comfortably accommodated in a tent. He wanted to
kneel before Baba and kiss His hand. Therefore, he tried thrice to step
into the Masjid but Baba prevented him from doing so. He was asked
to sit in the open courtyard below and take Baba’s darshan from there.
Not pleased with the reception he got, he wanted to leave Shirdi at once
and came to bid good-bye. Baba asked him to go the next day and not
to hurry. People also requested him to abide by Baba’s instructions. Not
listening to all this he left Shirdi in a tonga. The horses ran all right but
when Sawli Vihir was passed, a bicycle came in front, on seeing which
the horses were frightened and ran fast. The tonga turned topsy-turvy
and the gentleman fell down, and was dragged over some distance. He
was immediately rescued, but had to go and lie in Kopargaon hospital,
for the treatment of his injuries. Such experiences were legion, and
people learnt the lesson, that those who disobeyed Baba’s instructions,
met with accidents in one way or the other, and those who obeyed them,
were safe and happy.",
9,4,The Necessity of Mendicancy,"Now to return to the question of mendicancy. A question may
arise in the minds of some that, if Baba was such a great personage-God
manifest, why should He have taken recourse to begging bowl
throughout His life? This question may be considered and replied from
two standpoints. (1) Who are the people, who have a right to live by the
begging-bowl? Our Shastras say that those persons, who, after getting
rid of or becoming free from the three main desires, viz. (1) for progeny,
(2) for wealth, (3) for fame, and accept Sanyaas, are the fit persons to
live by begging alms. They cannot make cooking arrangements and
dine at their home. The duty of feeding them is laid on the shoulders
of house-holders. Sai Baba was neither a house-holder nor Vanaprastha.
He was a celibate Sanyaasi, i.e. Sanyaasi from boy-hood. His firm
conviction was that the universe was His home He was the Lord
Vasudeva – the Supporter of the universe and the Imperishable Brahma.
So, He had full right to take recourse to begging. (2) Now, from the
standpoint of *Panchasoona – five sins and their atonement. We all
know that in order to prepare food-stuffs and meals, the house-holders
have to go through five actions or processes, viz. (1) Kandani – Pounding,
(2) Peshani – Grinding, (3) Udakumbhi – Washing pots, (4) Marjani –
Sweeping and Cleaning, (5) Chulli – Lighting hearths. These processes",
9,5,Devotees' Experience and Offering,"Now to return to the other more interesting subject ... Lord Krishna
has said in the Bhagvad Gita (9-26), “Whosoever devoutly offers to Me
a leaf, a flower or a fruit or water, of that pure-hearted man, I accept
that pious offering.” In the case of Sai Baba, if a devotee intended really
to offer anything to Sai Baba, and if he afterwards forgot to offer the
same, Baba reminded him or his friend about the offering, and made
him bring it to Him and then accepted it, and blessed the devotee. A few
instances are given below.",
9,6,Tarkhad Family (Father and Son),"Mr. Ramachandra Atmaram alias Babasaheb Tarkhad, formerly a
Prarthana Samajist, was a staunch devotee of Sai Baba. His wife and
son loved Baba equally or perhaps more. It was once proposed that
Master Tarkhad should go with his mother to Shirdi and spend his
summer vacation there; but the son was unwilling to go, as he thought
that, in case, he left his home in Bandra, the worship of Sai Baba in the
house would not be properly attended to as his father, being a Prarthana
Samajist, would not care to worship Sai Baba’s picture. However, on his
father’s giving an assurance under oath that, he would perform the
worship exactly as his son was doing, the mother and the son left for
Shirdi on a Friday night.
Next day (Saturday) Mr. Tarkhad got up early, took his bath and
before proceeding with the Puja, prostrated himself before the Shrine
and said, “Baba, I am going to perform the Puja exactly as my son has
been doing but please, let it not be a formal drill.” Saying so, he performed
the Puja and offered a few pieces of lump-sugar as Naivaidya (offering).
The sugar was distributed at lunch time .
That evening and next day-Sunday, everything went on well. The
following Monday was a working day and it also passed well. Mr.
Tarkhad, who had never performed Puja like this in all his life, felt great
confidence within himself, that every thing was passing on quite
satisfactorily, as per the promise given to the son. Next Tuesday, he
performed the morning Puja as usual and left for his work. Coming
home at noon, he found that, there was no Prasad (sugar) to partake of,
when the meal was served. He asked the servant-cook, who told him
that there was no offering made that morning, and that he had completely
forgotten to perform that part of the Puja (offering Naivaidya). At this,
he left his seat and prostrated himself before the Shrine, expressed his
regret at the same time chiding Baba for the want of guidance in making
the whole affair a matter of mere drill. Then, he wrote a letter to his son,
stating the facts and requested him to lay it at Baba’s Feet, and ask His
pardon for his neglect.
This happened in Bandra at about Tuesday noon.
At about the same time, when the noon Arati was about to
commence in Shirdi, Baba said to Mrs. Tarkhad, “Mother, I had been
to your house in Bandra, with a view to have something to eat. I found
the door locked. I, somehow, got an entry and found to My regret that
Bhau (Mr. Tarkhad) had left nothing to eat for Me. So, I have returned
with my hunger unappeased”.
The lady did not understand this but the son, who was close – by,
understood the whole thing that there was something wrong with the
Puja in Bandra and he therefore, requested Baba to permit him to go
home. Baba refused this, but allowed him to perform Puja there. Then,
the son wrote a letter to his father stating all that took place at Shirdi
and implored his father not to neglect the Puja at home.
Both these letters crossed each other and were delivered to the
respective parties the next day. Is this not wonderful?",
9,7,Mrs. Tarkhad,"Let us now take up the case of Mrs. Tarkhad herself. She offered
three things, viz. (1) Bharit (roasted brinjal mixed with curds and
spice), (2) Kacharya (circular pieces of brinjal fried in ghee), (3) Pedha
(sweetmeat ball). Let us see, how Baba accepted these.
Once Mr. Raghuvir Bhaskar Purandare of Bandra, a great devotee
of Baba started for Shirdi with family. Mrs. Tarkhad went to Mrs.
Purandare and gave her two brinjals and requested her to prepare
Bharit of one brinjal and Kacharya of the other, when she went to Shirdi
and serve Baba with them. After reaching Shirdi, Mrs. Purandare went
with her dish of Bharit to the Masjid, when Baba was just sitting for
meals. Baba found the Bharit very tasty. So, He distributed it to all and
said that, He wanted Kacharya now. A word was sent to
Radhakrishnamai that, Baba wanted Kacharya. She was in a fix, as that
was no season of brinjals. How to get brinjals was the question? When
an enquiry was made as to who brought the Bharit, it was found that
Mrs. Purandare was entrusted with the duty of serving Kacharya.
Everybody then came to know the significance of Baba’s enquiry
regarding Kacharya and was wonder-struck at Baba’s all-pervasive
knowledge.
In December, 1915, one Govind Balaram Mankar wanted to go to
Shirdi to perform the obsequies of his father. Before he left, he came to
see Mr. Tarkhad. Then Mrs. Tarkhad wanted to send something with
him to Baba. She searched the whole house, but found nothing except
a Pedha, which had already been offered as Naivaidya. The boy Govind
was in mourning. Out of great devotion to Baba, she sent the Pedha
with him, hoping that Baba would accept and eat it. Govind went to
Shirdi and saw Baba but forgot to take the Pedha with him. Baba simply
waited. When again he went to Baba in the afternoon, he went emptyhanded,
without the Pedha. Baba could wait no longer and did ask him
straight, “What did you bring for Me?” “Nothing” was the reply. Baba
asked him again. The same reply came forth again. Then, Baba asked
him the question, “Did not the mother (Mrs. Tarkhad) give some
sweetmeat to you for Me, at the time of your starting?” The boy then
remembered the whole thing. He felt abashed, asked Baba’s pardon, ran
to his lodging, brought the Pedha and gave it to Baba. As soon as Baba
got it in His hand, He put it into His mouth and gulped it down. Thus,
the devotion of Mrs. Tarkhad was recognised and accepted. “As men
believe in Me, so do I accept them” (Gita, 4-11) was proved in this case.",
9,8,Baba Fed Sumptuously,"Once, Mrs. Tarkhad was staying in a certain house in Shirdi. At
noon meals were ready and being served, when a hungry dog turned
up there and began to bark. Mrs. Tarkhad got up at once and threw a
piece of bread which the dog gulped with great relish. In the afternoon
when she went to the Masjid and sat at some distance, Sai Baba said
to her, “Mother, you have fed Me sumptuously, My famished Pranas
(life-forces) have been satisfied. Ever act like this, and this will stand
you in good stead. Sitting in this Masjid I shall never, never speak
untruth. Take pity on Me like this! First give bread to the hungry and
then, eat yourself. Note this well!” She could not understand at first the
meaning of what Baba said. So, she replied, “Baba, how could I feed
You? I am myself dependent on others and take my food from them on
payment.” Then, Baba replied, “Eating that lovely bread I am heartily
contended and I am still belching. The dog, which you saw before
meals and to which you gave the piece of bread, is one with Me, so
also other creatures (cats, pigs, flies, cows etc.) are one with Me. I am
roaming in their forms. He, who sees Me in all these creatures, is My
beloved. So, abandon the sense of duality and distinction, and serve
Me as you did today.” Drinking these nectar-like words she was moved,
her eyes were brimmed with tears, her throat was choked and her joy
knew no bounds.",
9,9,Moral of Chapter 9,"“See God in all beings!” is the moral of this chapter. The
Upanishads, the Gita and the Bhagawat, all exhort us to perceive God
or Divinity in all the creatures. By the instance, given at the end of this
chapter and other numerous to mention, Sai Baba has practically
demonstrated to us, how to put the Upanishadic teachings into practice.
In this way Sai Baba stands as the best Exponent or Teacher of the
Upanishadic doctrines.
Bow to Shri Sai – Peace be to all",
10,1,Chapter 10 - Introduction,"Remember Him (Sai Baba) always with love, for He
was ever engrossed in doing good to all, and always
abided in His Self. To remember Him only, is to solve the riddle of life
and death. This is the best and easiest of Sadhanas, as it involves no
expenditure. A little exertion here brings great rewards. So, as long as
our senses are sound, we should, minute by minute, practise this
Sadhana. All other Gods are illusory, Guru is the only God. If we
believe in Sadguru’s holy feet, He can change our fortune for the better.
If we serve him sincerely, we get rid of our worldly afflictions. We need
not study any philosophy, like the Nyaya1 and the Mimansa. As we
trust the helmsman in crossing rivers and seas, so, we have to trust
our Sadguru in getting over the ocean of worldly existence. The Sadguru
looks to the intense feeling and devotion of his devotees, endows them
with knowledge and eternal bliss.
In the last chapter, Baba’s mendicancy and devotees’ experiences
and other subjects are dealt with. Let the readers now read, where and
how Baba lived, how He slept and how He taught etc.",
10,2,Baba's Wonderful Bedstead,"Let us first see where and how Baba slept, Mr. Nanasaheb Dengle
brought for Sai Baba, a wooden plank, about 4 arms in length and only
a span in breath, for sleeping upon. Instead of keeping the plank on the
floor and then sleeping on it, Baba tied it like a swing to the rafters of
the Masjid with old shreds or rags and commenced to sleep upon it. The
rags were so thin and worn out that it was a wonder, how they could
bear or support the weight of the plank itself, let alone the weight of
Baba. But, somehow or other it was Baba’s sheer Leela that the worn
out rags did sustain the plank, along with the weight of Baba on it. On
the four corners of this plank, Baba lighted Panatis (earthen lamps), one
at each corner and kept them burning the whole night. It was a sight
for the gods to see Baba sitting or sleeping on this plank! It was a
wonder to all, how Baba got up and down the plank. Out of curiosity,
many observers kept watching the process of mounting and
dismounting, but none succeeded. As crowds began to swell, so as to
detect this wonderful feat, Baba one day broke the plank into pieces and
threw it away. Baba had all the eight Maha Siddhis (powers) at His
command. He neither practised nor craved for them. They came to Him
naturally, as a result of His spiritual perfection.",
10,3,Manifestation of Brahma,"Though, Sai Baba looked like a man, three cubits and a half in
length, still He dwelt in the hearts of all. Inwardly, He was unattached
and indifferent but outwardly, He longed for mass welfare. Though,
inwardly, an abode of peace, He looked outwardly restless. Inwardly,
He had the state of Brahma, outwardly he seemed engrossed in the
world. Some times He looked on all with affection and at times He
threw stones at them; some times He scolded them, while at times He
embraced them and was calm, composed, tolerant and well-balanced.
He always abided and was engrossed in the Self, and was well-disposed
towards His Bhaktas. He always sat on one Asan and never travelled.
His ‘satka’ was a small stick, which He always carried in His hand.
He was calm and thought-free. He never cared for wealth and fame, and
lived on alms. Such a life He led. He always uttered “Allah Malik” (God
is the real owner). Entire and unbroken was His love for the Bhaktas.
He was the mine or store-house for self-knowledge and full of Divine
Bliss. Such was the Divine Form of Sai Baba, boundless, endless and
undifferentiated. One principle, which envelopes the whole universe
(from a stone to Brahma), incarnated in Sai Baba. The really meritorious
and fortunate people got this treasure-grove in their hands, while those
people, who not knowing the real worth of Sai Baba, took Him to be a
mere human being, were indeed unfortunate.",
10,4,His Stay in Shirdi and Probable Birth-date,"None knew or knows the parents and the exact date of birth of Sai
Baba; but it can be approximately determined by His stay in Shirdi.
Baba first came to Shirdi when he was a young lad of sixteen and
stayed there for three years. Then, all of a sudden, He disappeared for
some time. After some time, He reappeared in the Nizam state, near
Aurangabad and again came to Shirdi, with the marriage-party of
Chand Patil, when He was about twenty years old. Thence, He stayed
in Shirdi for an unbroken period of sixty years, after which Baba took
His Maha-samadhi in the year 1918. From this, we can say that the year
of Baba’s birth is approximately 1838 A.D.",
10,5,Baba's Mission and Advice,"Saint Ramdas (1608-1681) flourished in the 17th century, and
fulfilled to a great extent his mission of protecting cows and Brahmins
against the Yavanas (Mohammedens); but within two centuries after
him, the split between the two communities – Hindus and Mohammedens
widened up and Sai Baba came to bridge that gulf. His constant advice
to all was to this effect. “Ram (the God of the Hindus) and Rahim (the
God of the Mohammedens) were one and the same; there was not the
slightest difference between them then, why should their devotees fall
out and quarrel among themselves? You ignorant folk, join hands and
bring both the communities together, act sanely and thus, you will gain
your object of national unity. It is not good to dispute and argue. So,
don’t argue, don’t emulate others. Always consider your interest and
welfare. The Lord will protect you. Yoga, sacrifice, penance and
knowledge are the means to attain God. If you do not succeed in this
by any means, in vain is your birth. If anyone does any evil unto you,
do not retaliate. If you can do anything, do some good unto others.”
This in short was Sai Baba’s advice to all, and this will stand us in
good stead both in material and spiritual matters.",
10,6,Sai Baba as Sadguru,"There are many so-called Gurus, who go about from house to
house with cymbals and Vina in their hands, and make a show of their
spirituality. They blow Mantras into the ears of their disciples and
extract money from them. They profess to teach piety and religion to
their disciples, but are themselves impious and irreligious. Sai Baba
never thought of making the least show of His worth (piety). He had
no Body-consciousness but He had great love for His disciples. There
are two kinds of Gurus (1) ‘Niyat’ (appointed or fixed) and (2) ‘Aniyat’
(unappointed or general). The latter by their advice develop the good
qualities in us, purify our hearts and set us on the path of salvation;
but contact with the former, dispels our sense of dualities (sense of
difference), and establishes us in Unity by making us realize “Thou art
that”. There are various Gurus imparting to us various kinds of worldly
knowledge but he, who fixes us in our Nature (Self) and carries us
beyond the ocean of worldly existence, is the Sadguru. Sai Baba was
such a Sadguru. His greatness is indescribable. If anybody went to take
His darshan, He, without being asked, would give every detail of his
past, present and future. He saw Divinity in all beings. Friends and foes
were alike to Him. Disinterested and balanced, He obliged the evildoers
as well as the pious. He was the same in prosperity and adversity.
No doubt ever touched Him. Though, He acted through the body He
was, not in the least, attached to His body or house. Though, He looked
embodied, He was really unembodied, i.e., free from gross existence.
Blessed are the people of Shirdi, who worshipped Sai as their
God. While eating, drinking, working in their backyards and fields, and
doing various household works, they always remembered Sai and sang
His glory. They knew no other God except Sai. What to speak of the
sweetness of the love of the women of Shirdi! They were quite ignorant
but their pure love inspired them to compose poems or songs in their
simple rustic language. Letters of learning they had none, still one can
discern real poetry in their simple songs. It is not intelligence, but love,
that inspires real poetry as such. Real poetry is the manifestation of true
love, and this can be seen and appreciated by intelligent listeners.
Collection of these folk-songs is desirable and by Baba's wish some
fortunate devotee may undertake the task of compiling and publishing
these folk-songs, either in the Sai Leela magazine or separately in a
book.",
10,7,Baba's Humility,"Lord or Bhagwan is said to have six qualities, viz. (1) Fame, (2)
Wealth, (3) Non-attachment, (4) Knowledge, (5) Grandeur and (6)
Liberality. Baba had all these in Him. He incarnated in flesh, for the
sake of Bhaktas. Wonderful was His grace and kindness, for He drew
the devotees to Him, or how else could one have known Him. For the
sake of His Bhaktas Baba spoke such words, the Goddess of Speech
could not utter. Here is a specimen. Baba spoke very humbly as follows :
“Slave of slaves I am your debtor. I am satisfied at your darshan. It is
a great favour that I saw your feet. I am an insect in your excreta. I
consider Myself blessed thereby.” What humility is this!
Though, outwardly Baba seemed to enjoy sense-objects, He had
not the least flavour in them, nor even the consciousness of enjoying
them. Though, He ate, He had no taste and though, He saw, He never
felt any interest in what He saw. Regarding passion, He was as perfect
a celibate as Hanuman. He was not attached to anything. He was pure
consciousness, the resting place of desire, anger, envy and other feelings.
In short, He was disinterested, free and perfect. A striking instance may
be cited in illustration of this statement.",
10,8,Nanavali,"There was in Shirdi, a very quaint and queer fellow, by name
Nanavali. He looked to Baba’s work and affairs. He once approached
Baba, Who was seated on His Gadi (seat) and asked Him to get up, as
he wanted to occupy the same. Baba, at once got up and left the seat,
which he had occupied. After sitting there a while Nanavali got up, and
asked Baba to resume His seat. Then, Baba sat down and Nanavali fell
at His feet. Baba did not show the slightest displeasure in being dictated
to or ousted.
This Nanavali loved Baba so much that, he breathed his last, on
the thirteenth day of Baba’s Maha-samadhi.
The Easiest Path : Hearing the stories of the saints and being in their
company
Though, Sai Baba acted outwardly like an ordinary man, His
action showed extraordinary wisdom and skill. Whatever He did, was
done for the good of His devotees. He never prescribed any Asan,
regulation of breathing or any rites to His Bhaktas, nor did He blow any
Mantra into their ears. He told them to leave off all cleverness, and
always remember “Sai” “Sai”. If you did that, He said, all your
shackles would be removed and you would be free. Sitting through
five fires, sacrifices, chantings, eight-fold Yoga are possible for the
Brahmins only, they are of no use to the other classes. The function of
the mind is to think, it cannot remain without thinking for a minute. If
you give it a sense-object, it will think about it. If you give it Guru, it
will think about Guru. You have heard most attentively the grandeur
of Sai. This is the natural rememberance of Sai. Hearing the stories of
the saints is not so difficult, as the other Sadhanas, mentioned above.
They (stories) remove all fear of this Sansar (worldly existence) and take
you on to the spiritual path. So, listen to these stories, meditate on them
and assimilate them. You may attend to your worldly duties, but give
your mind to Sai and His stories, and then, He is sure to bless you. This
is the easiest path, but why do not all take to it? The reason is that
without God’s grace, we do not get the desire to listen to the stories of
saints. With God’s grace everything is smooth and easy. Hearing the
stories of the saints is, in a way, keeping their company. The importance
of the company of the saints is very great. It removes our bodyconsciousness
and egoism, destroys completely the chain of our birth
and death, cuts asunder all the knots of the mind and takes us to God,
Who is pure consciousness. It certainly increases our non-attachment
to sense-objects and makes us quite indifferent to pleasures and pains,
and leads us onward on the spiritual path. If you have no other
Sadhana, such as uttering God’s name, worship or devotion etc. but if
you take refuge in them (saints) whole-heartedly, they will carry you off
safely across the ocean of worldly existence. It is for this reason that the
saints manifest themselves in this world. Even sacred rivers such as the
Ganges, Godavari, Krishna and Kaveri etc., which wash away the sins
of the world, desire that the saints should come to them, for a bath and
purify them. Such is the grandeur of the Saint. It is on account of the
store of merit in past births that we have attained the feet of Sai Baba.
We conclude this chapter with meditation on Sai’s Form. He, the
graceful and handsome Sai, standing on the edge of the Masjid and
distributing Udi to each and every Bhakta, with a view to his welfare,
He, Who thinks of the world as an illusion and Who is ever engrossed
in Supreme Bliss – before Him, we humbly prostrate ourselves.
Bow to Shri Sai – Peace be to all",
